archive_rank,slug,source_url,asset_system_breadth,asset_categories,retained_formats,referenced_formats,runtime_signals,retained_asset_files,retained_asset_bytes
364,tracing-art,https://www.getty.edu/tracingart/,3,3d_model | gpu_texture | webassembly,,glb | gltf | ktx | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
424,matthew-fisher-art,https://mfisher.com/,3,3d_model | environment_map | webassembly,,glb | hdr | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
432,above-the-clouds-111-w-57,https://quadplex80.com/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
460,dgrees-studio-2,https://dgrees.studio/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
560,immersive-garden-website,https://immersive-g.com/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
569,shopify-plus,https://shopify.sunnysideup.work/,3,3d_model | environment_map | webassembly,,glb | hdr | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
624,hatom,https://www.hatom.com/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
762,noomo-labs,https://labs.noomoagency.com/,3,3d_model | environment_map | webassembly,,glb | hdr | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
796,format-3,https://format-3.co/,3,3d_model | gpu_texture | webassembly,,dds | glb | ktx | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
977,sculpting-harmony,https://gehry.getty.edu/,3,3d_model | gpu_texture | webassembly,,glb | gltf | ktx | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
1226,mana-yerba-mate,https://en.manayerbamate.com/,3,3d_model | environment_map | webassembly,,gltf | hdr | wasm,,0,0
1469,dgrees-studio,https://dgrees.studio,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1487,601-inc,https://www.rokumaruichi.tokyo/,3,3d_model | shader | webassembly,,glb | glsl | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1595,garden-eight,https://garden-eight.com/,3,3d_model | shader | webassembly,,glb | glsl | gltf | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1721,creative-nights-portfolio,https://creative-nights.com/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | rive_runtime | shader_source | web_worker | webassembly_runtime,0,0
1748,madbox,https://madbox.io/,3,3d_model | gpu_texture | webassembly,,basis | glb | gltf | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1923,sssolitaire,https://www.sssolitaire.com,3,3d_model | gpu_texture | shader,,dds | glb | glsl,draco_decoder | gltf_loader | lottie_runtime | offscreen_canvas | shader_source,0,0
1924,matthew-fisher,https://mfisher.com,3,3d_model | environment_map | webassembly,,glb | hdr | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1952,lewa-house,https://lewahouse.com,3,3d_model | gpu_texture | webassembly,,basis | dds | glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | offscreen_canvas | shader_source | web_worker,0,0
